audio_path,reference_text,language,condition
../hallucination/C4/hesitation_09.wav,嗯嗯,zh-tw,C4
../hallucination/C4/hesitation_10.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_11.wav,呃,zh-tw,C4
../hallucination/C4/hesitation_12.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_13.wav,嗯啊,zh-tw,C4
../hallucination/C4/hesitation_14.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_15.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_16.wav,啊,zh-tw,C4
../hallucination/C4/hesitation_17.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_18.wav,欸,zh-tw,C4
../hallucination/C4/hesitation_19.wav,欸,zh-tw,C4
../hallucination/C4/hesitation_20.wav,欸,zh-tw,C4
../acp_wavs/acp_001.wav,我想要簽預立醫療決定。,zh-tw,C5
../acp_wavs/acp_002.wav,如果到了末期，我不要插管急救。,zh-tw,C5
../acp_wavs/acp_003.wav,心肺復甦術是什麼意思？,zh-tw,C5
../acp_wavs/acp_004.wav,我想跟家人討論安寧緩和醫療。,zh-tw,C5
../acp_wavs/acp_005.wav,醫療委任代理人可以幫我做什麼決定？,zh-tw,C5
../acp_wavs/acp_006.wav,我還在考慮要不要簽 DNR。,zh-tw,C5
../acp_wavs/acp_007.wav,洗腎跟鼻胃管我都不想要。,zh-tw,C5
../acp_wavs/acp_008.wav,預立醫療照護諮商要去哪裡預約？,zh-tw,C5
../acp_wavs/acp_009.wav,我希望最後能在家裡善終。,zh-tw,C5
../acp_wavs/acp_010.wav,這份意願書簽了以後可以改嗎？,zh-tw,C5
../acp_wavs/acp_011.wav,病人自主權利法保障我們自己做醫療決定。,zh-tw,C5
../acp_wavs/acp_012.wav,如果心跳停了，你們還會幫我做 CPR 嗎？,zh-tw,C5
../acp_wavs/acp_013.wav,我同意接受緩和醫療，但不要侵入性治療。,zh-tw,C5
../acp_wavs/acp_014.wav,臨終的時候我希望有家人在身邊。,zh-tw,C5
../acp_wavs/acp_015.wav,我想拒絕維生醫療，只接受舒適照護。,zh-tw,C5
../acp_wavs/acp_016.wav,氣切跟插管哪一個比較痛苦？,zh-tw,C5
../acp_wavs/acp_017.wav,我已經跟兒子討論過我的醫療意願了。,zh-tw,C5
../acp_wavs/acp_018.wav,末期病人可以選擇居家安寧嗎？,zh-tw,C5
../acp_wavs/acp_019.wav,如果需要輸血，我願意接受。,zh-tw,C5
../acp_wavs/acp_020.wav,抗生素如果沒有效果，可以不要再用嗎？,zh-tw,C5
